employee_name,user_id,Domain,Email,Role
Burton M Stephenson,BMS0001,ACME.com,Burton.M.Stephenson@ACME.com,Security
Keelie M Goodwin,KMG0002,ACME.com,Keelie.M.Goodwin@ACME.com,Engineer
Dara O Craig,DOC0003,ACME.com,Dara.O.Craig@ACME.com,VP
Blossom T Hale,BTH0004,ACME.com,Blossom.T.Hale@ACME.com,Technician
Yeo C Bennett,YCB0005,ACME.com,Yeo.C.Bennett@ACME.com,Engineer
Tucker H Sims,THS0006,ACME.com,Tucker.H.Sims@ACME.com,Senior Manger
Adam X Battle,AXB0007,ACME.com,Adam.X.Battle@ACME.com,Engineer
Stephanie L Glover,SLG0008,ACME.com,Stephanie.L.Glover@ACME.com,Technician
Brian G Wells,BGW0009,ACME.com,Brian.G.Wells@ACME.com,Project Manager
Sophia D Rojas,SDR0010,ACME.com,Sophia.D.Rojas@ACME.com,Technician
Lamar C Giles,LCG0011,ACME.com,Lamar.C.Giles@ACME.com,Technician
Alvin N Cruz,ANC0012,ACME.com,Alvin.N.Cruz@ACME.com,Foreman
Brock C Barber,BCB0013,ACME.com,Brock.C.Barber@ACME.com,Administrative Assistant
Vance F Tillman,VFT0014,ACME.com,Vance.F.Tillman@ACME.com,Administrative Staff
Cole A Roman,CAR0015,ACME.com,Cole.A.Roman@ACME.com,Foreman
Arden J Burris,AJB0016,ACME.com,Arden.J.Burris@ACME.com,Administrative Assistant
Thomas L Bush,TLB0017,ACME.com,Thomas.L.Bush@ACME.com,Administrative Staff
Nathan K Mcclure,NKM0018,ACME.com,Nathan.K.Mcclure@ACME.com,Security
Rylee L Carpenter,RLC0019,ACME.com,Rylee.L.Carpenter@ACME.com,Technician
Jane S Eaton,JSE0020,ACME.com,Jane.S.Eaton@ACME.com,Tradesman
Kristen R Cantrell,KRC0021,ACME.com,Kristen.R.Cantrell@ACME.com,Janitor
Alika F Oneil,AFO0022,ACME.com,Alika.F.Oneil@ACME.com,Technician
Adena S Owen,ASO0023,ACME.com,Adena.S.Owen@ACME.com,Administrative Staff
Ria I Galloway,RIG0024,ACME.com,Ria.I.Galloway@ACME.com,Technician
Sophia H Riddle,SHR0025,ACME.com,Sophia.H.Riddle@ACME.com,Of Council
Ahmed R Koch,ARK0026,ACME.com,Ahmed.R.Koch@ACME.com,Technician
Lacey V Cain,LVC0027,ACME.com,Lacey.V.Cain@ACME.com,Tradesman
Christen M Underwood,CMU0028,ACME.com,Christen.M.Underwood@ACME.com,Technician
Emma C Decker,ECD0029,ACME.com,Emma.C.Decker@ACME.com,Loading Dock
Aimee Z Christian,AZC0030,ACME.com,Aimee.Z.Christian@ACME.com,Technician
Emerson E Knowles,EEK0031,ACME.com,Emerson.E.Knowles@ACME.com,Foreman
Stacy D Conrad,SDC0032,ACME.com,Stacy.D.Conrad@ACME.com,Technician
Austin K Alexander,AKA0033,ACME.com,Austin.K.Alexander@ACME.com,Senior Manger
Mechelle I Koch,MIK0034,ACME.com,Mechelle.I.Koch@ACME.com,Administrative Staff
Hayes B Fowler,HBF0035,ACME.com,Hayes.B.Fowler@ACME.com,Security
Lamar J Underwood,LJU0036,ACME.com,Lamar.J.Underwood@ACME.com,Foreman
Edward B Pace,EBP0037,ACME.com,Edward.B.Pace@ACME.com,Technician
Brooke D Hood,BDH0038,ACME.com,Brooke.D.Hood@ACME.com,Tradesman
Kendall K Travis,KKT0039,ACME.com,Kendall.K.Travis@ACME.com,Technician
Ivan H Figueroa,IHF0040,ACME.com,Ivan.H.Figueroa@ACME.com,Administrative Staff
Gary H Campbell,GHC0041,ACME.com,Gary.H.Campbell@ACME.com,Administrative Assistant
Levi G Armstrong,LGA0042,ACME.com,Levi.G.Armstrong@ACME.com,Administrative Staff
Kibo E Smith,KES0043,ACME.com,Kibo.E.Smith@ACME.com,Administrative Staff
Sawyer B Berg,SBB0044,ACME.com,Sawyer.B.Berg@ACME.com,Technician
Yeo V Foster,YVF0045,ACME.com,Yeo.V.Foster@ACME.com,Janitor
Britanni G Vargas,BGV0046,ACME.com,Britanni.G.Vargas@ACME.com,Technician
Sawyer S Cooke,SSC0047,ACME.com,Sawyer.S.Cooke@ACME.com,Foreman
Magee N Dale,MND0048,ACME.com,Magee.N.Dale@ACME.com,Administrative Assistant
Amena S Velez,ASV0049,ACME.com,Amena.S.Velez@ACME.com,Administrative Staff
Akeem R Beach,ARB0050,ACME.com,Akeem.R.Beach@ACME.com,Security
Vaughan M Alford,VMA0051,ACME.com,Vaughan.M.Alford@ACME.com,Engineer
Xerxes G Bruce,XGB0052,ACME.com,Xerxes.G.Bruce@ACME.com,Administrative Staff
Joan L Mccarty,JLM0053,ACME.com,Joan.L.Mccarty@ACME.com,Administrative Staff
Burton G Norman,BGN0054,ACME.com,Burton.G.Norman@ACME.com,Janitor
Keelie E Hayes,KEH0055,ACME.com,Keelie.E.Hayes@ACME.com,Technician
Caleb D Zamora,CDZ0056,ACME.com,Caleb.D.Zamora@ACME.com,Administrative Assistant
Holly J Keller,HJK0057,ACME.com,Holly.J.Keller@ACME.com,Technician
Cooper R May,CRM0058,ACME.com,Cooper.R.May@ACME.com,Administrative Assistant
Kai A Daugherty,KAD0059,ACME.com,Kai.A.Daugherty@ACME.com,Technician
Erich M Lyons,EML0060,ACME.com,Erich.M.Lyons@ACME.com,Administrative Staff
Amal C Meyers,ACM0061,ACME.com,Amal.C.Meyers@ACME.com,Administrative Assistant
Jane G Barton,JGB0062,ACME.com,Jane.G.Barton@ACME.com,Of Council
Driscoll F Zimmerman,DFZ0063,ACME.com,Driscoll.F.Zimmerman@ACME.com,Engineer
William D Whitaker,WDW0064,ACME.com,William.D.Whitaker@ACME.com,Administrative Assistant
Ray B Yang,RBY0065,ACME.com,Ray.B.Yang@ACME.com,Janitor
Sean T Cantrell,STC0066,ACME.com,Sean.T.Cantrell@ACME.com,Security
Amal K Holder,AKH0067,ACME.com,Amal.K.Holder@ACME.com,Administrative Assistant
Tanya R Porter,TRP0068,ACME.com,Tanya.R.Porter@ACME.com,Administrative Staff
Prescott X Benton,PXB0069,ACME.com,Prescott.X.Benton@ACME.com,Administrative Staff
Vivian D Pierce,VDP0070,ACME.com,Vivian.D.Pierce@ACME.com,Security
Cameran S Atkinson,CSA0071,ACME.com,Cameran.S.Atkinson@ACME.com,Engineer
Baxter N Nieves,BNN0072,ACME.com,Baxter.N.Nieves@ACME.com,Administrative Assistant
Kerry I Nixon,KIN0073,ACME.com,Kerry.I.Nixon@ACME.com,Technician
Cairo R Figueroa,CRF0074,ACME.com,Cairo.R.Figueroa@ACME.com,Foreman
Clayton B Brewer,CBB0075,ACME.com,Clayton.B.Brewer@ACME.com,Senior Manger
Justina W Williams,JWW0076,ACME.com,Justina.W.Williams@ACME.com,Administrative Staff
Garrison E Church,GEC0077,ACME.com,Garrison.E.Church@ACME.com,Engineer
Malachi S Puckett,MSP0078,ACME.com,Malachi.S.Puckett@ACME.com,Engineer
Bell L Buchanan,BLB0079,ACME.com,Bell.L.Buchanan@ACME.com,Administrative Staff
Echo S Battle,ESB0080,ACME.com,Echo.S.Battle@ACME.com,Technician
Jonas F Anderson,JFA0081,ACME.com,Jonas.F.Anderson@ACME.com,Foreman
Cruz T Henson,CTH0082,ACME.com,Cruz.T.Henson@ACME.com,Administrative Staff
Joelle D Moreno,JDM0083,ACME.com,Joelle.D.Moreno@ACME.com,Technician
Micah T Solis,MTS0084,ACME.com,Micah.T.Solis@ACME.com,Security
Shana S Herman,SSH0085,ACME.com,Shana.S.Herman@ACME.com,Tradesman
Shaeleigh M Lucas,SML0086,ACME.com,Shaeleigh.M.Lucas@ACME.com,Administrative Staff
Ayanna L Sullivan,ALS0087,ACME.com,Ayanna.L.Sullivan@ACME.com,Technician
April G Ferguson,AGF0088,ACME.com,April.G.Ferguson@ACME.com,Administrative Staff
Leslie I Burks,LIB0089,ACME.com,Leslie.I.Burks@ACME.com,Janitor
Maya C Mack,MCM0090,ACME.com,Maya.C.Mack@ACME.com,Technician
Aubrey G Barrett,AGB0091,ACME.com,Aubrey.G.Barrett@ACME.com,Foreman
Patrick K Morrow,PKM0092,ACME.com,Patrick.K.Morrow@ACME.com,Engineer
Nicholas R Mullen,NRM0093,ACME.com,Nicholas.R.Mullen@ACME.com,Janitor
Nolan J Wolf,NJW0094,ACME.com,Nolan.J.Wolf@ACME.com,Security
Lucy B Bell,LBB0095,ACME.com,Lucy.B.Bell@ACME.com,Administrative Staff
